"id_client","service_sauvegarde","service_antivirus","service_assurance","service_streaming_film","service_streaming_tv","service_support"
"ANOEI59158","Yes","Yes","Yes","No","Yes","Yes"
"LZBMD86792","No","No","No","Yes","Yes","No"
"HWUHI23722","No","No","No","No","No","No"
"WPHPM71626","Yes","Yes","Yes","No","No","Yes"
"KNBHV88224","Yes","Yes","Yes","Yes","Yes","No"
"LVCRK03157","No","No","Yes","Yes","No","No"
"QMNTJ82631","Yes","Yes","Yes","Yes","Yes","Yes"
"SXDJP05267","Yes","Yes","Yes","No","No","No"
"USSQZ52018","No","No","No","Yes","No","Yes"
"POCZS41323","No","Yes","No","Yes","No","No"
"VYTKW54475","No","Yes","No","No","No","Yes"
"WPXQM59605","No","No","No","No","Yes","No"
"UWHIS28262","Yes","No","No","No","No","No"
"XFOIL72516","No","No","Yes","Yes","No","No"
"JHPMP69235","No","Yes","Yes","No","No","No"
"ORVIZ13738","No","No","No","Yes","No","Yes"
"OCUFY82203","No","Yes","Yes","No","No","Yes"
"HGMJH94889","No","No","No","No","No","No"
"BEGGB24466","Yes","No","No","Yes","Yes","No"
"RFZRP57814","Yes","Yes","No","No","Yes","Yes"
"KYVNF09738","Yes","Yes","Yes","No","Yes","No"
"RLMVT37401","Yes","Yes","No","No","No","Yes"
"LXSDN58375","Yes","No","No","No","Yes","No"
"SOLAY30496","No","No","No","Yes","Yes","No"
"RBTSB89149","Yes","No","Yes","No","Yes","No"
"LFCZZ19255","No","No","Yes","Yes","Yes","No"
"JUXUI83729","No","No","No","No","No","No"
"VEOYC33207","No","No","No","Yes","Yes","No"
"ADRUX10961","No","No","No","No","No","No"
"MEISB56683","Yes","Yes","Yes","No","Yes","Yes"
"JZAZL48017","No","Yes","No","No","No","No"
"KRMAW65783","Yes","Yes","Yes","Yes","No","No"
"ADFVN88846","No","No","Yes","Yes","Yes","No"
"VLYFX69333","No","Yes","Yes","Yes","Yes","Yes"
"XJGDM48251","Yes","Yes","Yes","No","No","Yes"
"XWOQN18462","No","No","No","No","No","No"
"UZWLX80893","No","No","Yes","Yes","Yes","No"
"AHUHD59409","No","No","No","No","No","No"
"CAJZV04329","No","No","No","Yes","Yes","No"
"ZPQRG32493","Yes","No","No","No","No","No"
"WEXXK67262","No","Yes","Yes","No","No","No"
"AFWNC29845","Yes","No","No","Yes","Yes","No"
"WHBIQ02386","Yes","Yes","Yes","Yes","Yes","Yes"
"LBMUW24058","Yes","Yes","No","Yes","No","Yes"
"LXKDT51531","Yes","Yes","Yes","Yes","Yes","No"
"WKXRZ66801","No","No","No","No","No","No"
"RKMOW31743","Yes","No","Yes","Yes","Yes","Yes"
"YFWLT14152","No","No","No","Yes","Yes","No"
"FKVXZ75991","No","No","Yes","Yes","Yes","Yes"
"FPTAH56926","No","No","No","No","No","No"
"INWCK00207","Yes","No","Yes","Yes","No","No"
"HTYWR35574","Yes","Yes","No","Yes","No","Yes"
"NZZIJ69071","Yes","No","No","Yes","Yes","No"
"ISRNH22523","No","No","Yes","No","Yes","No"
"SUMCB04819","No","No","Yes","Yes","Yes","No"
"HOBAX47378","No","No","Yes","Yes","Yes","Yes"
"YVMFA37809","No","No","No","Yes","Yes","Yes"
"NMQTX89081","Yes","Yes","Yes","Yes","Yes","Yes"
"BJZHG29551","No","No","No","No","Yes","No"
"CLUJA97762","No","Yes","No","No","No","No"
"VWCCY64353","Yes","Yes","No","No","Yes","No"
"GVNHT13209","Yes","Yes","Yes","Yes","Yes","No"
"PMFUT52753","Yes","Yes","Yes","Yes","Yes","Yes"
"QRAJY29884","Yes","Yes","Yes","Yes","Yes","No"
"CGTOD72743","Yes","Yes","Yes","No","No","Yes"
"ZXKVS04421","Yes","Yes","Yes","Yes","Yes","Yes"
"LGEUL90695","No","Yes","No","Yes","No","No"
"QMNRR60752","No","Yes","No","No","No","No"
"HFAZW50911","Yes","Yes","No","No","Yes","No"
"BVCJH73656","No","No","No","No","No","No"
"MDZFX44502","No","No","No","No","No","No"
"GHBPI73841","No","No","No","Yes","No","No"
"BZIUW03929","No","Yes","Yes","Yes","Yes","No"
"NRPAP39165","No","No","Yes","Yes","No","No"
"BCQGE28429","No","No","No","No","No","No"
"MJPDY71344","No","No","Yes","Yes","Yes","Yes"
"FDVVT05204","Yes","No","Yes","Yes","Yes","No"
"YDGFJ06553","No","No","Yes","No","No","No"
"GWVPJ83294","No","No","No","No","No","No"
"VXNZD88166","No","No","No","No","No","No"
"LMRSF08952","No","No","No","Yes","Yes","No"
"LZQOH92832","No","No","No","No","No","No"
"WJVCQ95775","No","Yes","No","No","No","No"
"BLBUC46826","Yes","No","Yes","No","Yes","Yes"
"GHVRI98122","No","No","No","Yes","No","No"
"HSUSE08172","No","No","Yes","Yes","Yes","Yes"
"ZADCK45986","Yes","Yes","Yes","No","Yes","Yes"
"ROJOC78836","No","No","No","No","No","No"
"NNPNO61453","No","No","No","No","No","No"
"QLWTP97384","No","No","Yes","No","No","Yes"
"QDGTH91547","No","No","Yes","Yes","Yes","Yes"
"FRQOC94309","No","No","Yes","No","No","Yes"
"WNZEM79985","Yes","Yes","Yes","Yes","No","Yes"
"ZRVAX21959","No","No","Yes","Yes","No","No"
"UJOJR97221","No","No","No","No","No","No"
"UAXBZ82247","Yes","Yes","No","No","Yes","No"
"VGMMV86142","No","No","No","No","No","No"
"GGUAZ29047","Yes","Yes","No","No","No","No"
"JNZZG63975","Yes","No","Yes","Yes","Yes","No"
"XLKNJ45982","Yes","No","Yes","Yes","Yes","No"
"FJFCC16359","No","No","No","No","No","No"
"SWWKL17949","No","No","Yes","No","No","Yes"
"SAYYN40789","No","No","Yes","Yes","Yes","No"
"FBAWU70887","Yes","Yes","No","Yes","Yes","No"
"DSMNQ52683","Yes","No","Yes","No","Yes","No"
"JZPZT16666","No","No","No","No","No","No"
"PHULV09794","No","No","Yes","Yes","Yes","No"
"VRBMR48325","Yes","No","Yes","Yes","Yes","No"
"CVCET38594","No","No","No","No","No","No"
"LDIWQ20406","Yes","No","Yes","Yes","Yes","Yes"
"APPBJ35114","No","Yes","Yes","Yes","Yes","No"
"QBWSJ38653","No","Yes","No","No","No","No"
"GQVCR50196","No","No","No","No","Yes","No"
"QUSFT48371","Yes","Yes","No","No","Yes","Yes"
"QOFDP09161","No","No","No","Yes","Yes","No"
"EWIEB63311","No","No","No","No","Yes","No"
"OABFK51816","Yes","Yes","Yes","No","No","No"
"HHQPF67439","No","No","No","No","No","No"
"UBDAR13918","No","No","Yes","No","No","No"
"OXENN73143","Yes","No","No","No","No","No"
"XZMAZ34283","No","No","No","No","No","No"
"QAJDW12301","No","No","No","No","Yes","Yes"
"GSTLM52984","No","Yes","No","Yes","Yes","No"
"DRSQT42741","Yes","No","No","No","Yes","No"
"CBZOP94737","No","Yes","Yes","No","No","No"
"LXORM67056","No","No","No","No","No","No"
"OCLGR27789","No","Yes","No","Yes","No","No"
"CVLHP59065","Yes","No","No","No","No","Yes"
"NICCO61379","Yes","No","Yes","No","Yes","No"
"JLBUG83484","No","Yes","Yes","No","No","No"
"WNXSB19302","Yes","No","No","Yes","Yes","No"
"VVHHE60158","No","No","No","No","Yes","No"
"ZYDST78698","No","No","No","No","Yes","No"
"YAPAF09398","No","No","Yes","Yes","Yes","No"
"YQHXC66926","No","No","No","No","No","No"
"XXGNS89993","Yes","No","Yes","Yes","Yes","No"
"FTQGN11502","Yes","Yes","No","No","Yes","No"
"FJVYR56845","Yes","Yes","No","No","No","Yes"
"OQZDQ61085","Yes","No","No","Yes","Yes","No"
"TROQR07227","No","No","No","No","No","No"
"DSHIH25042","No","No","No","Yes","No","No"
"LSCKB62298","No","No","No","No","Yes","No"
"BSVIN91693","No","No","Yes","Yes","Yes","No"
"YLZJG13191","Yes","Yes","Yes","No","No","No"
"CNQRM06281","No","Yes","Yes","No","Yes","Yes"
"SNHFZ24528","No","Yes","No","No","No","No"
"QRCBC70793","No","No","Yes","Yes","Yes","No"
"QLSIR08663","Yes","Yes","No","No","No","Yes"
"XWMSS06185","No","Yes","No","No","No","No"
"PIBKO29549","No","Yes","Yes","No","No","Yes"
"YOOHP44506","No","No","Yes","Yes","Yes","No"
"YMZNM12583","Yes","Yes","Yes","Yes","Yes","No"
"XRJRS80798","Yes","Yes","Yes","No","No","No"
"ABPKK34828","No","Yes","No","No","No","Yes"
"LLQFO76136","No","No","No","No","Yes","No"
"DCFDQ03905","No","No","No","No","No","No"
"PMGFL26403","No","No","No","No","No","Yes"
"BEPCI79213","Yes","Yes","No","No","No","No"
"LPVGL22055","Yes","Yes","No","No","No","Yes"
"VBYBZ38116","Yes","No","No","Yes","Yes","No"
"SXESE29791","No","Yes","Yes","No","Yes","No"
"ZVAPM92448","No","No","No","No","No","No"
"HPKQT35371","Yes","No","No","No","No","No"
"CYCQN05499","Yes","No","No","No","No","No"
"SDBKE45486","No","No","No","No","Yes","No"
"EMYVT15576","Yes","Yes","Yes","Yes","Yes","Yes"
"IMHCC70563","Yes","No","No","Yes","Yes","No"
"WRAHC57601","No","Yes","Yes","Yes","No","Yes"
"HTUIF43698","No","Yes","No","No","Yes","No"
"IGSLP58983","No","Yes","Yes","No","No","Yes"
"IVBWA22505","Yes","Yes","No","No","No","No"
"WFGGJ88191","No","Yes","Yes","Yes","Yes","No"
"EJFJP91082","Yes","Yes","No","No","No","No"
"GSWPO74262","Yes","Yes","No","Yes","Yes","No"
"VKACU32345","No","No","No","Yes","Yes","Yes"
"JBWMO55224","No","No","No","No","No","No"
"FEJAM11043","Yes","No","No","Yes","No","No"
"GCPMU33981","Yes","Yes","Yes","Yes","Yes","Yes"
"BLEPA37363","Yes","No","No","No","Yes","Yes"
"ECXKC26969","No","Yes","No","Yes","Yes","No"
"DKZFP22963","Yes","Yes","Yes","Yes","No","No"
"ZWPBF99718","Yes","No","Yes","Yes","Yes","Yes"
"HCZGT26344","No","Yes","No","No","No","Yes"
"WWOEW21894","Yes","No","No","Yes","No","No"
"KVQRD57029","No","Yes","Yes","Yes","Yes","Yes"
"EJVQB43438","No","Yes","No","No","No","No"
"BEXHZ30226","Yes","No","Yes","Yes","Yes","Yes"
"AXJJK22795","Yes","No","No","Yes","No","Yes"
"TAZPM82131","Yes","No","Yes","Yes","Yes","Yes"
"EICRF67786","No","Yes","No","Yes","Yes","No"
"UOINI22728","Yes","Yes","No","Yes","Yes","Yes"
"EDEBV95715","No","No","Yes","Yes","Yes","No"
"OQIQY00828","No","No","No","Yes","Yes","Yes"
"QGCXA08228","Yes","No","Yes","Yes","Yes","Yes"
"BVTKJ53065","Yes","No","Yes","No","No","No"
"OVKUP24726","Yes","No","Yes","Yes","No","No"
"OMULG80979","Yes","No","Yes","Yes","Yes","Yes"
"HCERK14212","Yes","Yes","Yes","No","Yes","Yes"
"NMQXL33187","No","No","No","Yes","Yes","No"
"OZMFH69213","No","No","No","No","No","Yes"
"ZNBSX94154","Yes","Yes","Yes","Yes","Yes","Yes"
"TBBWB55428","No","No","No","No","No","No"
"JIXNM74014","Yes","Yes","Yes","Yes","Yes","Yes"
"UZOSF14525","Yes","Yes","Yes","No","Yes","Yes"
"XBKMM05317","Yes","Yes","No","No","No","Yes"
"VEKBL51542","No","Yes","Yes","Yes","Yes","Yes"
"XSJKX25163","Yes","Yes","No","Yes","Yes","Yes"
"OSFXZ47828","Yes","Yes","Yes","Yes","No","Yes"
"HXDMR93514","No","Yes","Yes","Yes","Yes","Yes"
"PPCED83093","Yes","No","Yes","Yes","Yes","Yes"
"UNOJF88021","Yes","No","Yes","No","No","Yes"
"USQYQ77538","Yes","No","No","Yes","No","Yes"
"LPTYJ48228","Yes","No","Yes","Yes","Yes","No"
"FLYZI37618","Yes","No","Yes","Yes","Yes","No"
"QRJKY46363","No","No","No","No","No","Yes"
"BMGFE33764","No","No","No","No","No","No"
"PZWGX54455","Yes","Yes","No","Yes","No","Yes"
"DSCIC15679","Yes","No","Yes","No","Yes","No"
"THSLQ53869","Yes","No","Yes","No","Yes","No"
"LWDTQ63311","No","No","No","Yes","Yes","No"
"AHGNL93601","No","Yes","Yes","Yes","Yes","Yes"
"UWTFY21504","Yes","Yes","Yes","No","No","No"
"DFXCU15085","No","No","No","No","Yes","No"
"JQKEA61431","No","No","No","No","No","No"
"CEDNV78018","No","Yes","No","No","No","No"
"HAQTX61645","Yes","Yes","Yes","No","Yes","Yes"
"FZFRV12281","No","Yes","Yes","Yes","Yes","No"
"JRFBR16793","Yes","Yes","Yes","Yes","Yes","No"
"RTPQD19199","No","No","No","No","No","No"
"EUYET76412","Yes","Yes","Yes","No","Yes","No"
"FVBQP27204","No","No","No","No","No","No"
"PWSEV80358","No","No","Yes","Yes","No","Yes"
"OIWME03769","No","Yes","No","Yes","Yes","No"
"XBFAC03252","No","No","Yes","Yes","Yes","No"
"XQWSV22925","Yes","No","Yes","Yes","Yes","Yes"
"JHJGE22528","No","Yes","Yes","Yes","Yes","No"
"YJWAS61766","Yes","Yes","Yes","No","Yes","No"
"ZTSIW63838","Yes","Yes","No","Yes","Yes","No"
"ESIQH14553","No","No","No","Yes","Yes","No"
"NJCMS46643","No","Yes","Yes","Yes","Yes","Yes"
"BANWH49113","No","No","No","No","Yes","No"
"FKDNK73945","No","No","No","Yes","Yes","No"
"TVOCN40916","No","Yes","Yes","Yes","Yes","No"
"CAYJJ97997","No","No","No","No","No","No"
"QKIUE36839","No","No","No","No","No","Yes"
"WZPHD35385","Yes","No","No","No","No","No"
"OTCHB82057","Yes","No","Yes","Yes","No","No"
"YTAFD76748","Yes","No","No","No","No","Yes"
"SAVHK15713","No","No","No","Yes","Yes","Yes"
"PWPMG17796","Yes","Yes","Yes","Yes","Yes","Yes"
"JQABI39697","Yes","Yes","No","No","Yes","No"
"QKNKB33132","No","No","No","Yes","No","No"
"YJYXS90868","No","No","Yes","Yes","Yes","No"
"TWIEM06211","No","No","No","No","No","No"
"JOEVF86794","No","No","No","No","Yes","Yes"
"NMNBO34242","Yes","Yes","Yes","Yes","Yes","No"
"JCUDS72092","No","No","Yes","Yes","Yes","No"
"OBOYL79528","No","No","Yes","No","Yes","Yes"
"NNDYT65493","No","Yes","No","No","No","No"
"KLXBN54193","Yes","No","Yes","No","Yes","No"
"ETJZO15416","No","No","Yes","No","No","Yes"
"CHVCF69993","Yes","Yes","Yes","Yes","No","No"
"ZFFMM51671","Yes","No","No","Yes","No","No"
"MTTXK63266","Yes","No","No","Yes","Yes","No"
"NZGTA41954","No","No","No","No","No","No"
"PTMIK56191","No","Yes","No","No","No","No"
"IJWDZ39328","No","No","Yes","Yes","Yes","Yes"
"IVVAZ70898","No","Yes","No","Yes","Yes","Yes"
"VATUS33871","No","No","No","Yes","Yes","No"
"VXSXJ54821","Yes","No","No","Yes","Yes","No"
"OWURY23862","No","No","No","Yes","Yes","Yes"
"TRCZQ26257","Yes","No","No","Yes","Yes","No"
"RBEEE90396","Yes","Yes","No","No","Yes","Yes"
"WTBXE08431","No","No","No","No","Yes","No"
"PWKYE14483","No","No","No","Yes","No","No"
"YPKDH63173","Yes","No","No","No","No","No"
"CWDNU20272","No","No","No","Yes","No","Yes"
"OHIHY61106","No","No","No","No","Yes","No"
"GFWQL39451","No","No","No","No","No","No"
"KWHJO86451","No","No","Yes","Yes","Yes","Yes"
"CPTUL28154","No","No","No","No","No","No"
"OOHAR05168","Yes","No","Yes","Yes","Yes","No"
"GZBBC03977","No","No","No","Yes","Yes","No"
"REOAC35809","No","No","No","No","No","No"
"KLNYW82009","No","Yes","Yes","Yes","Yes","Yes"
"HRTNN33177","No","No","No","Yes","Yes","No"
"ZDBMA34204","No","No","No","No","No","No"
"IWKVK07273","Yes","No","Yes","No","No","No"
"UQWWF81681","No","No","Yes","Yes","Yes","No"
"AFGBW83131","Yes","No","Yes","Yes","Yes","No"
"SCJKT63518","No","Yes","Yes","No","No","Yes"
"LXVAP02312","No","No","No","No","No","Yes"
"SKJNO83283","Yes","Yes","No","No","No","Yes"
"GZQXV43857","No","No","No","Yes","Yes","Yes"
"DXHDA95136","No","Yes","Yes","Yes","Yes","Yes"
"QWUBZ29691","Yes","No","No","Yes","Yes","No"
"VSZUV99431","No","No","No","No","No","No"
"ZDQYY45491","No","Yes","Yes","No","No","Yes"
"AIBVB98854","Yes","No","Yes","No","No","No"
"SLNVK22622","No","No","No","No","No","No"
"SSNVZ94086","No","No","No","No","No","No"
"CLDDA03839","No","Yes","Yes","Yes","Yes","Yes"
"QLGEX65376","No","Yes","No","No","Yes","No"
"JQHZZ23712","No","No","No","Yes","Yes","No"
"YLNNG99195","Yes","No","Yes","Yes","Yes","Yes"
"WXOYN50737","Yes","No","No","Yes","Yes","No"
"VDLTR27549","No","No","No","Yes","Yes","No"
"BVOFB57784","No","No","No","No","Yes","Yes"
"VBEGU66148","Yes","No","No","Yes","Yes","No"
"HNSAW13528","Yes","Yes","Yes","Yes","Yes","Yes"
"GKNGE07447","No","Yes","No","No","No","Yes"
"PVZWJ62581","Yes","Yes","Yes","Yes","Yes","Yes"
"BQYBV71818","No","Yes","Yes","Yes","Yes","No"
"BIJKI13575","Yes","No","No","Yes","Yes","No"
"MVRMB76025","No","Yes","Yes","Yes","Yes","Yes"
"YDYUW29728","Yes","No","No","Yes","No","Yes"
"JVDCV88945","Yes","Yes","Yes","Yes","Yes","Yes"
"LFRMW01173","Yes","Yes","Yes","No","No","No"
"JMPMT44399","No","No","No","No","Yes","Yes"
"ANLXO95764","No","No","No","No","No","No"
"WJKSM30147","No","No","Yes","No","No","No"
"UMJZD49269","No","No","No","No","No","Yes"
"RUBNK74016","No","Yes","No","No","No","No"
"FANTW45582","No","Yes","No","No","Yes","Yes"
"YOZLV89901","Yes","Yes","No","No","No","Yes"
"SGAFL29714","No","Yes","Yes","Yes","Yes","No"
"CSBRZ18452","No","No","No","No","Yes","No"
"HJPIW48191","No","No","No","No","No","No"
"WHMEV05772","Yes","Yes","Yes","No","No","No"
"BIUPC75638","No","No","No","No","Yes","No"
"SRVYQ68968","No","No","Yes","No","No","No"
"NSOBC87618","Yes","No","No","Yes","Yes","Yes"
"LKOZD47011","Yes","Yes","Yes","Yes","Yes","Yes"
"VVTOX45871","Yes","No","Yes","Yes","Yes","No"
"TATYJ09837","No","No","No","No","No","Yes"
"QTBIW73635","No","No","No","Yes","No","No"
"UBYPQ02306","No","Yes","No","No","No","Yes"
"AJIEK31868","No","Yes","Yes","Yes","Yes","Yes"
"VIOMB84049","Yes","Yes","Yes","Yes","Yes","Yes"
"MNRTF80403","No","No","No","No","No","No"
"UIMBA82949","No","No","No","Yes","Yes","Yes"
"UXUSK95065","No","No","No","No","No","No"
"FVZCC94888","Yes","Yes","Yes","Yes","No","Yes"
"TPKRV94155","Yes","No","No","No","No","No"
"FUYCG33259","Yes","Yes","No","Yes","Yes","No"
"MGMGF50554","No","Yes","Yes","Yes","Yes","No"
"YVSVF57015","No","No","No","No","Yes","Yes"
"XMUOB96938","Yes","No","No","Yes","Yes","No"
"UCAAU05338","Yes","No","Yes","No","Yes","No"
"BDTWG71108","No","No","Yes","Yes","No","Yes"
"TGTWV17463","No","No","Yes","No","No","No"
"EORGB59373","No","Yes","Yes","No","Yes","No"
"TWELN07932","No","Yes","No","No","No","No"
"OZGFH62437","No","No","No","Yes","Yes","No"
"ZYPZY41196","Yes","No","No","Yes","Yes","Yes"
"PNRGI79254","Yes","Yes","Yes","No","Yes","Yes"
"EMAZU59664","No","Yes","Yes","Yes","Yes","Yes"
"DSHWM95042","No","Yes","No","No","No","Yes"
"MLAXC38144","No","No","No","No","No","Yes"
"ITWWB51501","No","No","No","Yes","Yes","No"
"LGXBA15734","Yes","No","Yes","Yes","Yes","No"
"GEEAX52331","No","No","Yes","No","No","No"
"IPEAQ50106","Yes","Yes","Yes","No","Yes","Yes"
"WOZRZ54943","No","Yes","Yes","Yes","Yes","Yes"
"QSTYI38635","No","No","Yes","No","Yes","Yes"
"YNADK35857","Yes","No","Yes","No","Yes","Yes"
"PUQOD38916","No","No","Yes","Yes","No","No"
"ZJNMU44459","Yes","No","No","Yes","Yes","No"
"CVMAW78739","Yes","Yes","Yes","Yes","Yes","Yes"
"FBQMM10172","Yes","No","No","Yes","Yes","Yes"
"UMQCG69184","No","No","No","No","Yes","No"
"LNRXK43918","Yes","No","Yes","Yes","No","Yes"
"PKZAY21872","No","No","No","Yes","No","No"
"VLBWQ76941","Yes","No","Yes","Yes","Yes","No"
"PZNSR31334","Yes","Yes","No","Yes","No","Yes"
"AXGMP93564","No","Yes","Yes","Yes","Yes","Yes"
"ZUBYC90972","No","No","No","No","No","Yes"
"DCNZE08402","Yes","Yes","Yes","Yes","Yes","Yes"
"UCQVC32858","No","No","No","No","No","Yes"
"VGRUM18334","No","No","No","No","No","No"
"SEYLU08364","No","No","No","No","Yes","Yes"
"OZXFY17521","No","Yes","No","No","Yes","No"
"CAOYT52404","Yes","Yes","No","No","No","Yes"
"JPYLU28876","No","No","No","No","No","No"
"VLNRJ30214","No","Yes","Yes","No","Yes","Yes"
"RJOHI62579","No","No","No","No","No","Yes"
"AQFFX49101","No","No","Yes","No","No","No"
"YCHWO03963","No","No","No","Yes","Yes","No"
"PLVPE54821","No","No","No","No","No","No"
"GGFNM18308","Yes","Yes","Yes","No","No","Yes"
"VRDVK79513","Yes","Yes","Yes","Yes","Yes","Yes"
"YVMYX26154","Yes","Yes","Yes","Yes","Yes","No"
"HJAPT02245","No","No","No","No","No","No"
"LAHRK23862","No","No","No","No","Yes","No"
"ZPSEA95417","No","Yes","Yes","No","No","No"
"RTSLK11931","Yes","Yes","Yes","No","No","No"
"NGXYI33515","No","Yes","No","No","No","No"
"UGBTK93594","No","Yes","Yes","Yes","No","Yes"
"HNGUT97887","Yes","Yes","Yes","Yes","Yes","Yes"
"DIWPO78551","No","No","No","No","No","No"
"VOOVL09759","Yes","No","No","No","No","No"
"UJMUS44194","No","No","No","Yes","Yes","Yes"
"TKOPW44248","No","No","No","Yes","Yes","No"
"LNAQX67972","Yes","No","No","Yes","Yes","No"
"VJYAB79283","No","No","No","Yes","Yes","No"
"BUXUX68219","Yes","Yes","No","No","Yes","No"
"MUGVO09476","Yes","No","No","No","No","No"
"XDPUD87278","No","No","No","No","Yes","No"
"DHLPB34135","Yes","No","No","Yes","Yes","Yes"
"GBPFB28849","No","No","No","No","No","No"
"QNVZJ74805","No","No","No","Yes","Yes","No"
"HXOWK16969","Yes","Yes","No","No","Yes","No"
"QQRHC44805","No","No","Yes","No","No","No"
"PKDQG46908","Yes","No","Yes","No","Yes","No"
"QDZZJ89617","Yes","No","No","Yes","Yes","No"
"VOFSZ93308","Yes","No","Yes","Yes","Yes","Yes"
"YQHGA91159","No","No","No","No","No","Yes"
"GFVOI91942","No","Yes","Yes","Yes","Yes","Yes"
"COKXZ65952","No","No","No","No","No","No"
"CFSZG31543","No","Yes","Yes","Yes","No","No"
"TDGAK06797","No","Yes","No","Yes","Yes","Yes"
"TTGJP64341","Yes","Yes","Yes","Yes","No","Yes"
"HMANX66316","Yes","No","Yes","Yes","Yes","Yes"
"XHDJU06654","Yes","No","No","Yes","Yes","No"
"MMGUB34286","No","No","Yes","No","Yes","No"
"PTWEH55704","No","No","No","No","No","No"
"PTIWW57126","No","No","Yes","No","No","Yes"
"XNHVZ88214","No","No","No","No","Yes","No"
"XZPYF11732","No","No","Yes","No","Yes","No"
"CNWRG35452","Yes","No","No","Yes","Yes","No"
"DXQCE48069","Yes","Yes","Yes","Yes","Yes","Yes"
"MLYYM06855","No","No","No","No","No","No"
"BGWOH10759","No","No","Yes","Yes","Yes","No"
"WVPSS84431","Yes","No","No","Yes","Yes","Yes"
"QMKVN41148","Yes","Yes","No","Yes","No","No"
"LLMLM20382","No","No","Yes","Yes","Yes","Yes"
"ZIVKX60941","No","Yes","Yes","No","No","No"
"DOVND28975","No","No","No","No","No","No"
"MOJJT83872","No","No","No","No","Yes","No"
"FRIRW66938","Yes","No","Yes","Yes","Yes","No"
"JCJRH59766","No","No","No","No","No","No"
"UTDVX67496","Yes","No","Yes","Yes","Yes","No"
"CTCYF35522","Yes","No","Yes","Yes","Yes","No"
"FIGTF00688","Yes","No","Yes","Yes","Yes","Yes"
"EGPJC95244","No","No","No","Yes","No","Yes"
"ADXWO51085","No","Yes","No","No","No","No"
"XJHKQ36391","Yes","Yes","Yes","No","No","No"
"BFWVU81973","Yes","Yes","Yes","Yes","Yes","Yes"
"TTHGI58432","No","No","Yes","No","No","No"
"WYIPH56512","Yes","No","No","No","No","No"
"RSNHI39113","Yes","No","Yes","Yes","Yes","Yes"
"JZNKO68653","Yes","Yes","No","No","No","No"
"RHRNE32752","Yes","No","Yes","Yes","Yes","Yes"
"JKIAZ76276","No","No","Yes","No","No","No"
"ADZFJ22457","Yes","No","No","Yes","Yes","Yes"
"FTFFX44826","No","No","Yes","No","No","Yes"
"JKZNQ54191","No","No","No","No","No","No"
"DGNVC59152","Yes","Yes","Yes","Yes","No","No"
"LOLHO29579","No","No","No","No","No","No"
"PHDEI27777","No","No","No","No","Yes","No"
"DJPIB95655","Yes","No","No","No","Yes","No"
"FYZOW16784","No","No","No","No","Yes","No"
"ALMUX73497","Yes","Yes","Yes","No","No","Yes"
"DHBFL93307","Yes","Yes","Yes","No","No","Yes"
"LBEAR62885","Yes","No","No","No","No","Yes"
"PSYHO92334","No","No","Yes","Yes","Yes","No"
"RXSGD04474","Yes","No","No","Yes","Yes","No"
"RWFXJ88241","Yes","No","Yes","No","No","No"
"ZTHVF48843","Yes","No","No","No","Yes","No"
"EHGIP86279","Yes","No","Yes","Yes","Yes","No"
"JPQOW10206","Yes","No","Yes","No","No","Yes"
"ZJZFU31621","Yes","No","No","No","Yes","Yes"
"ZSFLL93968","No","No","No","No","No","No"
"XAXAY49088","Yes","No","Yes","Yes","No","No"
"UREFD29114","No","Yes","Yes","Yes","Yes","No"
"DXGGG93911","Yes","No","Yes","Yes","No","No"
"QLLIW49188","No","No","No","No","Yes","No"
"QQRVF75038","Yes","No","No","No","No","No"
"XUJWD97611","Yes","No","No","Yes","No","Yes"
"QVHRX58161","No","No","No","Yes","Yes","Yes"
"ENNGU70544","Yes","No","No","No","No","No"
"GYRQC42856","No","No","Yes","No","Yes","No"
"BPGEU70166","No","No","No","No","No","No"
"AUZNK45317","No","Yes","No","No","Yes","Yes"
"FJEGU05566","Yes","No","Yes","No","Yes","Yes"
"MQQCA51686","Yes","No","Yes","Yes","Yes","Yes"
"DELSO36941","No","Yes","No","No","Yes","No"
"HIORI11355","Yes","No","Yes","Yes","Yes","Yes"
"OMNWB69521","No","No","Yes","No","No","No"
"PYPSJ95448","Yes","No","Yes","Yes","No","No"
"IQWIB74839","Yes","No","Yes","No","Yes","No"
"WLKLI32274","Yes","Yes","Yes","Yes","Yes","Yes"
"BXYIV19284","Yes","Yes","No","No","No","No"
"IEAUQ68274","Yes","Yes","Yes","No","No","Yes"
"ETQOE98396","Yes","Yes","Yes","No","No","No"
"MZPUJ80994","Yes","Yes","Yes","Yes","Yes","Yes"
"YQENT55148","Yes","Yes","Yes","Yes","Yes","Yes"
"JLMHM88715","Yes","No","Yes","No","No","Yes"
"GHAYE91636","Yes","No","No","No","No","No"
"FZDMN32176","No","No","Yes","Yes","Yes","No"
"HPRRX54809","No","No","No","No","No","No"
"FYJNT49189","Yes","No","Yes","No","No","Yes"
"JBMNH37553","No","No","No","No","No","No"
"HADHQ41062","No","Yes","Yes","Yes","Yes","Yes"
"XETSH30455","Yes","No","Yes","Yes","No","No"
"XMMUG03459","Yes","No","Yes","Yes","Yes","Yes"
"LCRSD76699","No","No","No","No","Yes","No"
"RFHAR35711","Yes","No","Yes","Yes","Yes","Yes"
"NNQRU46928","No","No","Yes","No","No","Yes"
"CONWX54199","Yes","No","Yes","Yes","Yes","No"
